# average of cb1bs3_ax6  001  .. 005
#------------------------
#   energy      xmu       norm
  11766.930       0.71432720E-01   0.94553987E-03
  11771.930       0.68972920E-01  -0.15634042E-02
  11777.000       0.68953592E-01  -0.12854249E-02
  11782.070       0.69624855E-01  -0.21999120E-03
  11787.090       0.70906588E-01   0.15385809E-02
  11792.050       0.70228347E-01   0.10587159E-02
  11796.950       0.71186645E-01   0.24413851E-02
  11801.980       0.67490257E-01  -0.14758183E-02
  11806.950       0.67635898E-01  -0.10156493E-02
  11811.990       0.67655052E-01  -0.69556620E-03
  11816.970       0.67966766E-01  -0.45438298E-04
  11821.950       0.67721625E-01  -0.30271141E-04
  11826.940       0.67793827E-01   0.34734184E-03
  11832.000       0.70920419E-01   0.42119048E-02
  11836.930       0.70909167E-01   0.44908071E-02
  11842.000       0.72117919E-01   0.61691211E-02
  11847.000       0.75905225E-01   0.10783521E-01
  11847.430       0.75944227E-01   0.10853440E-01
  11847.980       0.75440261E-01   0.10311332E-01
  11848.470       0.78418382E-01   0.13736169E-01
  11848.840       0.77185489E-01   0.12352242E-01
  11849.510       0.78274750E-01   0.13633933E-01
  11849.940       0.78927980E-01   0.14404232E-01
  11850.490       0.77207708E-01   0.12475216E-01
  11851.040       0.78699425E-01   0.14208712E-01
  11851.460       0.80444972E-01   0.16223948E-01
  11851.950       0.79448953E-01   0.15117221E-01
  11852.500       0.80009531E-01   0.15788973E-01
  11852.930       0.80959983E-01   0.16898184E-01
  11853.480       0.82843977E-01   0.19078978E-01
  11854.030       0.84031721E-01   0.20465866E-01
  11854.520       0.82561685E-01   0.18818634E-01
  11855.010       0.84946673E-01   0.21567143E-01
  11855.440       0.85438011E-01   0.22152843E-01
  11855.930       0.88023032E-01   0.25129442E-01
  11856.540       0.87579604E-01   0.24659915E-01
  11856.970       0.90465434E-01   0.27975966E-01
  11857.520       0.90797285E-01   0.28386910E-01
  11857.950       0.93178229E-01   0.31127257E-01
  11858.440       0.95101602E-01   0.33349404E-01
  11858.930       0.97159779E-01   0.35725264E-01
  11859.540       0.98474688E-01   0.37260703E-01
  11859.970       0.10051685       0.39614746E-01
  11860.520       0.10383061       0.43425854E-01
  11860.950       0.10612465       0.46067103E-01
  11861.500       0.11044205       0.51022631E-01
  11861.930       0.11158601       0.52352484E-01
  11862.480       0.11537111       0.56701039E-01
  11862.970       0.11878672       0.60624734E-01
  11863.520       0.12321441       0.65706007E-01
  11863.950       0.12689868       0.69932491E-01
  11864.500       0.13509082       0.79306233E-01
  11864.930       0.13998820       0.84915984E-01
  11865.480       0.14971620       0.96041004E-01
  11865.970       0.15858214       0.10617951
  11866.520       0.17150086       0.12094279
  11867.010       0.18438279       0.13566058
  11867.440       0.20275048       0.15663002
  11867.990       0.22955586       0.18722775
  11868.420       0.25355717       0.21462100
  11869.040       0.30461897       0.27288158
  11869.460       0.35163160       0.32651319
  11870.020       0.42737614       0.41291504
  11870.450       0.52325448       0.52226701
  11870.940       0.64791341       0.66443999
  11871.490       0.80974727       0.84900571
  11872.040       0.98364252        1.0473246
  11872.470        1.1098908        1.1913062
  11873.020        1.2456073        1.3460914
  11873.450        1.3729920        1.4913688
  11873.940        1.5365268        1.6778705
  11874.490        1.8122622        1.9923139
  11874.990        2.0905693        2.3096869
  11875.540        2.4213025        2.6868423
  11875.970        2.6320833        2.9272134
  11876.460        2.6748614        2.9760206
